Gene,HLA 49:36,HLA 81:95,HLA 34:45,HLA 92:44,HLA 70:22,HLA 84:40,HLA 91:85,HLA 47:96,HLA 56:71,HLA 85:65,HLA 58:16,HLA 49:92,HLA 16:79,HLA 60:88,HLA 14:97,HLA 24:67,HLA 85:10,HLA 48:15,HLA 32:42,HLA 29:23,HLA 14:63,HLA 42:82,HLA 59:82,HLA 49:79,HLA 47:76,HLA 33:45,HLA 11:91,HLA 42:37,HLA 61:81,HLA 34:64,HLA 73:75,HLA 15:92,HLA 66:30,HLA 28:82,HLA 33:63,HLA 39:23,HLA 92:79,HLA 83:24,HLA 10:68,HLA 99:13,HLA 40:96,HLA 16:86,HLA 29:26,HLA 45:47,HLA 61:42,HLA 65:75,HLA 97:48,HLA 79:98,HLA 99:99,HLA 47:82,HLA 34:39,HLA 68:84,HLA 50:80,HLA 59:97,HLA 46:38,HLA 66:40,HLA 40:80,HLA 74:47,HLA 10:56,HLA 61:93,HLA 57:10,HLA 82:90,HLA 13:70,HLA 75:79,HLA 54:91,HLA 72:80,HLA 76:69,HLA 57:26,HLA 74:99,HLA 55:40,HLA 36:82,HLA 12:49,HLA 94:80,HLA 32:66,HLA 74:33,HLA 77:11,HLA 49:67,HLA 40:46,HLA 57:43,HLA 57:56,HLA 64:15,HLA 93:54,HLA 69:14,HLA 80:82,HLA 89:41,HLA 21:78,HLA 32:10,HLA 13:48,HLA 16:80,HLA 38:61
LOC645676,39,37,6,65,93,93,80,39,95,57,40,10,2,29,25,87,26,99,49,78,52,18,74,82,60,70,80,90,72,64,89,94,73,28,39,21,96,92,10,10,79,81,81,23,36,21,87,65,80,20,75,8,12,59,2,31,83,86,23,17,66,61,57,60,75,8,45,17,4,77,50,49,74,88,26,7,78,96,64,90,72,17,91,2,43,47,46,87,66,92
LOC646214,22,23,79,3,70,9,84,2,72,41,85,14,24,60,74,61,24,54,75,59,9,58,15,63,79,39,32,39,14,68,11,90,58,3,15,77,92,54,75,72,57,72,49,39,12,53,94,96,28,75,5,17,83,36,28,96,4,33,75,39,40,68,29,11,44,70,47,3,81,55,58,22,55,45,66,28,35,40,59,69,31,37,94,6,47,21,10,17,32,11
LOC646498,62,59,60,94,30,35,6,26,21,23,73,60,10,62,4,93,50,21,28,82,28,63,87,74,2,72,56,59,96,2,61,60,6,32,56,93,11,43,50,25,83,61,89,1,66,85,37,54,49,5,38,74,69,7,88,28,34,95,3,96,62,92,78,7,19,81,15,44,44,58,8,57,67,19,51,25,16,97,35,42,96,54,7,29,28,24,18,11,27,68
LOC646851,74,52,62,24,70,2,88,46,97,94,95,56,57,61,90,98,15,80,75,83,26,59,32,47,53,66,52,61,30,85,94,44,25,45,65,59,39,49,18,13,53,99,26,11,14,96,2,24,60,22,63,66,74,47,43,74,37,50,36,11,30,10,81,42,19,82,40,43,1,60,71,37,80,84,21,27,23,53,3,57,48,43,64,51,9,16,74,20,1,46
LOC647121,96,77,84,37,19,15,96,1,26,48,86,78,26,22,15,33,67,50,49,35,49,20,76,10,66,13,90,83,35,59,8,33,52,50,10,25,48,36,57,57,39,77,92,14,97,30,43,51,30,79,55,49,72,9,45,79,12,29,80,51,34,25,27,50,47,40,86,56,10,60,92,70,17,92,39,77,72,46,72,26,30,41,70,67,12,22,93,18,4,77
LOC647859,80,57,21,65,48,16,57,66,8,22,3,19,91,4,77,76,22,5,89,63,65,42,11,3,60,86,69,85,62,95,46,56,26,81,2,88,62,49,50,59,54,37,23,77,52,70,70,19,67,13,23,59,78,57,30,90,93,32,1,90,8,52,13,5,43,81,53,70,64,7,69,75,84,19,83,27,28,45,25,39,78,81,78,11,9,35,39,10,62,88
LOC647946,12,31,72,35,46,72,99,29,8,33,66,78,63,36,89,2,67,63,29,64,10,90,48,50,51,8,5,40,72,5,1,5,23,64,54,89,30,1,31,30,63,41,87,83,72,88,11,94,87,6,65,81,64,99,9,59,54,47,71,68,44,92,4,66,26,54,30,36,39,50,50,82,84,36,93,94,37,83,1,52,57,92,84,42,75,83,86,68,85,95
LOC648691,81,4,22,62,63,42,96,48,67,53,93,99,17,4,2,29,45,60,92,13,96,29,30,59,40,2,68,44,36,77,93,72,16,64,65,52,93,46,8,4,26,93,49,4,29,58,60,30,23,68,59,68,78,77,6,53,65,91,2,57,64,72,43,43,52,43,58,69,78,26,6,10,79,83,50,24,42,23,98,93,56,40,72,7,27,8,76,37,58,48
LOC649330,75,61,93,53,73,57,51,80,43,57,7,60,23,55,89,62,96,34,12,95,57,85,79,64,74,51,84,74,2,40,1,68,17,4,40,56,87,76,58,73,86,20,70,16,41,82,82,84,58,23,40,63,33,95,22,76,12,32,20,5,89,69,56,27,2,64,71,77,69,77,74,17,62,81,74,8,34,15,4,13,25,58,27,74,61,13,88,36,98,84
LOC650293,29,98,41,6,95,94,33,5,58,21,59,76,4,18,36,31,60,12,3,68,27,38,27,78,39,4,82,94,37,98,98,7,92,11,23,60,30,49,1,81,21,73,59,9,39,1,65,5,81,82,13,54,29,89,25,16,79,62,89,89,21,53,36,80,43,27,99,80,59,7,57,11,65,23,43,28,66,61,58,5,45,6,25,94,71,13,68,72,43,92
LOC652276,81,5,43,22,7,53,87,83,76,75,4,67,55,69,34,8,86,76,44,96,79,29,55,11,58,70,87,73,53,51,35,32,56,95,11,14,30,65,12,58,33,11,62,14,73,19,67,45,16,62,75,37,53,64,69,12,19,43,38,36,80,95,78,78,97,77,77,79,61,53,56,42,55,59,44,83,30,14,58,99,88,47,8,45,66,60,88,83,99,21
LOC653544,14,17,21,79,11,72,59,14,81,22,39,41,34,21,95,53,75,82,83,77,70,59,67,82,77,47,80,9,15,27,28,19,61,53,81,32,32,48,73,66,78,8,94,87,94,2,17,69,6,94,87,14,23,22,37,61,27,44,71,70,22,86,77,9,45,87,9,31,65,66,47,95,8,2,43,26,39,61,95,92,59,89,76,47,67,2,43,39,11,66
LOC653545,90,63,78,32,9,20,7,44,53,11,38,32,36,96,55,10,26,96,44,39,45,20,70,1,56,12,46,45,17,95,64,21,1,1,2,67,4,50,33,72,89,35,47,44,24,52,35,25,65,31,59,23,39,92,35,64,96,34,47,85,45,73,4,20,5,36,96,23,89,1,13,61,36,70,39,57,67,29,65,75,81,21,32,66,16,82,86,41,44,81
LOC653786,16,34,82,37,20,7,27,29,90,59,89,54,94,46,38,56,15,22,21,29,76,90,54,32,18,69,57,77,15,82,22,87,26,39,57,64,92,32,58,78,37,15,24,15,13,12,9,42,82,22,1,46,10,15,37,55,97,95,15,71,8,21,39,93,75,84,49,12,69,18,21,73,34,23,50,94,58,20,97,86,14,89,26,83,81,39,65,51,36,6
LOC723972,6,78,4,60,54,70,41,18,18,69,17,42,74,71,61,92,62,4,20,10,20,3,68,38,48,86,23,18,55,23,93,41,10,79,32,27,51,53,53,91,93,16,17,10,44,22,83,90,96,48,76,77,72,70,46,96,72,65,51,10,82,48,19,61,16,72,35,51,45,61,88,34,90,60,6,10,24,40,78,8,88,8,73,47,34,44,66,88,46,98
LOC727677,42,40,9,54,15,13,95,16,58,58,82,38,14,61,3,83,69,28,69,18,48,72,57,44,79,94,9,38,81,89,47,71,60,14,13,33,66,79,36,4,46,64,44,14,54,78,63,21,29,67,10,55,58,17,22,75,97,94,35,82,90,77,20,10,9,66,42,1,24,38,85,80,26,11,17,34,82,31,18,88,11,74,42,11,24,14,79,50,62,32
LOC727896,47,48,6,24,72,20,94,65,25,19,59,46,81,48,46,77,19,78,52,28,73,70,42,49,13,54,7,27,26,98,31,68,76,39,10,34,44,5,52,13,76,93,61,47,39,37,85,72,12,66,82,45,55,95,8,6,48,72,76,9,94,48,68,84,45,16,79,15,91,27,79,68,39,94,4,58,48,8,25,14,98,15,43,60,89,61,6,52,21,61
LOC727924,98,58,16,9,1,74,58,70,88,76,58,2,20,30,30,50,68,23,55,58,80,57,73,41,31,40,58,30,84,28,64,69,96,73,66,54,98,29,37,38,77,49,96,97,97,82,35,90,19,20,74,15,34,4,99,73,40,23,39,67,34,75,73,18,79,72,72,74,41,8,45,42,79,53,58,70,83,67,62,64,9,84,6,75,88,67,79,54,59,91
LOC728410,68,83,55,38,63,14,24,42,77,82,50,81,99,57,70,77,22,96,34,52,80,10,93,9,64,55,18,80,68,30,26,82,3,91,43,34,76,37,59,56,82,53,67,18,24,14,47,84,43,65,51,51,26,64,93,51,18,65,64,1,97,92,27,25,7,18,50,40,5,18,70,61,49,4,50,14,50,79,69,18,97,96,98,59,51,37,83,64,80,9
LOC728613,53,44,9,11,75,64,19,89,87,95,64,55,60,79,96,62,94,11,49,63,98,50,11,96,28,40,91,3,68,57,87,43,54,66,15,9,3,52,82,64,20,66,4,14,67,19,16,60,46,25,71,29,12,13,59,42,44,26,35,30,93,1,13,66,25,83,29,31,11,26,49,83,45,67,92,18,32,9,96,23,53,19,63,48,43,99,7,95,86,43
LOC728640,54,7,12,63,67,44,88,32,39,34,59,67,59,70,58,78,66,43,48,47,35,34,68,9,17,65,80,88,16,23,86,21,47,4,34,94,37,24,19,35,49,71,16,78,8,16,47,35,82,25,36,47,28,47,78,76,4,23,42,27,57,73,76,75,37,21,88,2,39,40,56,60,39,6,98,28,57,90,61,37,10,98,68,18,77,55,46,76,1,86
LOC728643,93,46,68,30,42,35,76,67,59,23,6,65,81,45,37,57,9,2,58,8,60,73,91,77,71,58,19,96,91,85,46,40,67,22,51,67,60,88,83,86,61,27,28,93,45,23,48,27,38,1,71,25,1,72,30,79,56,66,64,27,16,63,32,40,27,32,25,61,52,7,91,88,26,72,31,76,75,8,93,59,14,49,37,29,31,56,76,61,81,77
LOC728758,80,6,71,30,7,91,70,89,77,80,2,49,4,9,71,20,15,49,89,9,58,16,97,33,62,33,18,35,22,15,54,14,46,64,77,69,24,27,65,34,89,2,3,45,59,88,30,71,82,77,54,16,36,51,59,23,63,59,5,52,37,68,18,28,20,65,52,35,43,8,48,30,75,50,23,8,58,39,15,12,31,32,36,28,3,99,71,5,67,69
LOC728875,93,77,7,36,76,79,67,73,56,3,34,95,36,81,67,39,11,22,11,73,27,98,17,99,36,52,42,17,50,98,59,9,67,83,26,1,14,13,96,86,5,67,94,46,91,21,71,7,24,97,73,17,10,56,20,86,47,15,27,60,7,36,25,93,98,17,18,46,39,91,26,29,47,19,41,1,98,85,76,13,12,28,36,95,61,37,22,27,29,96
LOC729156,37,79,76,19,26,24,52,86,88,9,99,94,38,93,65,22,10,66,61,61,1,30,1,59,44,1,57,42,4,55,91,2,95,3,50,59,46,26,92,90,97,59,76,23,48,2,87,4,94,48,23,35,85,68,81,76,5,92,32,16,73,62,97,62,59,54,41,65,92,89,61,78,40,28,56,8,60,16,22,99,43,20,79,40,73,67,90,99,1,98
LOC729234,64,60,42,43,83,24,42,18,30,65,10,51,84,25,36,9,75,62,75,20,74,34,84,40,25,70,94,1,63,19,24,53,70,55,61,89,5,51,1,14,76,95,50,55,90,74,95,91,7,37,88,73,62,45,37,60,51,13,55,11,60,97,67,45,53,70,21,96,76,85,86,25,79,5,87,83,77,33,28,24,28,47,40,63,3,12,29,30,2,54
LOC729375,96,12,47,39,55,88,59,99,46,98,50,80,91,44,85,40,41,65,51,40,5,63,64,2,13,71,36,6,61,63,16,2,22,95,8,80,71,49,43,91,36,3,12,43,81,42,47,85,31,56,63,31,77,55,51,6,44,55,55,32,81,81,62,53,92,19,85,56,32,54,98,67,73,20,75,6,97,57,78,23,12,17,40,6,65,19,38,88,59,86
LOC729603,80,61,58,45,85,37,33,96,30,15,23,47,2,52,49,18,4,35,80,56,79,41,2,44,78,71,63,59,17,65,80,39,81,52,3,53,23,88,51,45,44,8,83,95,10,93,1,73,41,6,12,20,11,32,21,45,6,57,5,51,39,8,59,47,3,99,48,25,79,57,92,68,45,16,89,97,40,50,24,51,93,13,75,38,1,74,54,13,18,40
LOC729609,70,97,71,20,57,94,89,77,65,71,96,61,50,40,97,30,44,96,55,84,41,10,63,68,55,11,85,55,68,67,36,89,2,89,60,59,85,6,62,92,13,47,91,25,88,58,8,14,72,9,77,12,63,12,32,34,58,60,56,28,67,58,72,70,54,67,86,46,71,28,12,4,32,77,60,82,55,83,23,21,35,48,27,71,6,99,41,64,80,46
LOC729668,73,7,8,2,21,44,28,79,73,4,98,11,18,7,86,59,46,13,93,23,42,2,28,24,29,60,6,24,86,39,89,75,32,86,62,33,75,13,78,89,19,39,67,90,30,59,63,49,18,82,14,16,11,59,30,55,76,37,87,76,56,96,7,41,43,29,82,31,14,56,90,14,76,65,52,52,86,11,57,59,25,44,89,74,59,30,42,73,30,27
LOC729799,5,9,46,90,67,36,27,4,92,35,58,12,91,69,21,16,23,83,79,64,97,59,71,76,92,9,83,80,48,57,59,21,80,45,99,51,41,10,62,94,18,21,23,49,23,33,96,75,27,1,10,7,36,25,4,46,78,24,19,67,36,36,43,94,9,42,30,75,86,14,64,65,47,75,6,63,57,74,99,32,61,83,68,14,23,86,58,68,24,9
LOC729991-MEF2B,12,8,64,78,34,3,18,68,57,40,85,99,21,26,57,35,26,93,58,93,36,72,8,16,87,5,15,65,40,67,97,95,41,41,89,15,34,15,68,83,92,68,5,60,43,93,56,5,98,6,27,94,64,90,25,94,78,13,92,80,32,57,33,40,79,71,50,15,9,5,8,46,52,48,9,28,96,99,92,74,72,91,15,25,64,82,12,39,82,56
LOC730101,86,47,45,70,62,60,38,85,98,94,42,60,13,17,90,92,66,33,39,43,83,71,35,29,2,43,35,32,33,22,53,47,94,75,80,89,90,19,65,42,27,30,61,5,28,80,48,62,39,98,85,72,11,52,87,72,23,4,1,13,21,41,52,94,11,90,90,12,71,84,71,61,92,47,20,98,65,73,7,41,79,7,87,65,59,87,45,42,84,55
LOC730668,51,37,67,45,13,5,54,35,43,72,80,71,99,67,47,76,11,65,18,32,86,92,69,5,31,68,54,71,10,97,69,15,58,28,61,15,90,89,8,82,41,56,83,90,27,53,72,96,48,58,39,9,33,2,56,75,23,5,90,26,48,29,98,21,56,22,33,17,89,39,56,99,64,97,84,79,86,96,16,87,77,68,39,94,77,82,80,75,11,39
LOC731779,54,89,52,64,11,23,70,1,22,44,24,49,89,55,63,27,1,15,49,27,37,44,36,15,96,9,53,51,85,37,19,18,12,74,51,32,78,6,63,29,25,83,17,16,15,5,27,23,45,57,5,57,14,19,4,31,43,74,70,49,82,94,8,9,96,39,87,21,26,29,75,24,50,72,99,26,66,64,79,63,78,48,10,39,14,42,70,65,23,20
LOC731789,98,60,81,35,44,19,84,66,67,45,99,6,62,3,32,59,92,65,32,8,30,72,41,50,70,26,22,27,3,89,4,97,55,24,94,93,87,17,69,65,71,57,71,24,40,87,29,49,84,49,31,77,23,12,89,52,38,22,55,50,73,32,38,38,44,35,39,3,78,72,24,56,87,89,69,51,88,91,66,33,81,75,94,16,32,79,72,84,13,67
LOC732275,60,33,78,47,67,65,87,88,26,82,40,79,21,74,77,68,7,12,20,27,9,85,75,62,43,32,60,45,17,81,33,47,46,98,46,10,20,6,55,36,47,99,89,34,28,38,2,54,24,86,64,29,23,51,58,60,14,82,8,85,35,21,79,37,53,91,79,40,16,17,10,29,91,4,67,51,7,40,77,40,67,93,65,30,16,73,79,3,26,65
LOC81691,97,32,98,52,21,84,97,25,3,41,75,9,81,44,24,73,14,79,53,37,86,19,44,71,22,33,24,94,46,10,5,6,53,31,60,6,61,97,84,13,54,29,17,34,18,40,58,60,14,86,95,1,85,8,75,45,80,6,19,36,13,39,42,27,14,87,18,93,62,47,27,55,55,12,72,13,27,80,84,10,2,48,85,74,73,8,62,70,53,9
LOC84740,82,73,67,4,41,60,74,3,28,87,55,17,27,1,83,62,63,14,23,84,35,33,47,3,66,56,23,44,30,27,2,19,4,39,52,42,83,76,28,63,17,63,47,14,25,77,91,61,96,38,61,86,87,81,55,77,1,68,85,15,70,17,56,60,26,48,35,75,76,69,31,10,75,98,49,98,6,68,78,37,1,9,13,42,14,69,27,27,15,14
LOC84931,34,5,95,40,37,81,44,53,11,94,37,63,95,50,21,93,83,90,88,20,51,5,95,27,7,14,19,92,31,86,56,18,90,45,71,47,52,19,82,27,92,30,34,36,53,4,25,69,22,59,66,9,16,84,23,94,47,88,49,57,26,51,83,93,73,5,45,48,87,97,3,34,32,49,84,25,28,72,80,27,97,96,65,22,24,51,78,90,50,60
LOC84989,97,72,72,42,65,3,99,58,44,39,24,45,44,58,41,55,51,2,67,94,93,82,92,44,61,6,36,1,24,45,8,55,31,59,55,35,41,41,63,49,68,62,21,56,66,87,35,88,10,58,27,1,6,40,36,97,94,82,90,95,21,19,64,41,32,41,39,47,26,4,93,73,30,29,50,28,60,58,25,59,46,17,61,23,41,22,52,57,3,60
LOC90834,90,77,17,44,57,77,5,42,2,44,95,34,98,73,23,77,65,11,22,54,7,75,90,67,34,61,71,76,17,97,77,91,51,6,90,30,83,61,81,20,54,24,10,94,55,43,23,96,23,44,40,62,53,89,53,8,17,28,84,95,85,25,25,86,39,33,59,43,3,36,91,1,83,57,1,12,85,3,99,87,32,94,72,29,33,57,14,54,26,30
LOC91149,26,46,7,99,17,89,45,77,75,45,52,21,38,97,64,40,64,94,71,97,79,3,51,80,7,96,98,5,3,21,36,96,92,33,71,25,23,68,44,78,80,98,58,21,13,71,56,69,45,28,21,83,92,81,26,50,82,65,44,46,16,44,82,88,43,32,81,20,34,7,93,25,40,38,82,48,82,51,63,71,11,1,36,15,11,98,24,17,68,81
LOC91450,90,65,27,74,65,36,73,35,20,6,98,99,68,63,73,61,77,56,90,63,99,61,92,29,53,54,33,78,69,72,29,83,1,65,3,50,60,61,93,40,45,18,78,26,23,91,88,81,43,42,52,43,88,27,71,34,90,9,80,2,46,45,11,89,52,62,3,37,22,8,51,96,76,2,53,21,40,41,20,10,84,39,91,27,1,87,69,16,29,1
LOC92659,4,37,28,91,85,32,61,44,42,42,26,83,44,25,31,55,96,91,18,59,66,37,69,86,23,99,45,42,63,45,39,28,15,68,13,31,8,81,11,27,95,91,52,38,69,12,70,55,3,78,88,90,81,44,26,27,91,63,90,7,28,7,82,48,10,42,20,21,20,93,74,87,19,56,79,44,51,22,79,22,54,84,27,95,81,41,44,71,99,75
LOC93432,79,55,3,61,7,94,52,79,74,17,54,75,21,5,94,66,48,39,7,52,72,94,75,12,21,74,54,10,29,28,7,9,45,53,69,51,79,70,99,66,10,98,42,47,49,96,44,10,63,84,96,76,40,98,54,92,1,79,17,21,61,8,37,67,56,83,39,51,14,72,99,93,84,77,4,41,50,96,33,15,18,34,81,83,81,62,56,76,71,49
LOH12CR1,96,45,53,36,15,44,55,29,12,30,16,83,47,26,66,73,23,48,61,81,66,82,2,70,4,39,40,77,23,42,49,93,3,3,15,89,19,25,74,78,8,13,80,76,12,71,53,11,75,56,80,42,47,24,75,20,89,13,85,98,59,47,27,67,95,78,22,44,57,69,37,84,18,32,71,78,85,44,56,26,86,89,44,87,8,9,39,67,1,65
LOXL3,28,32,45,5,18,44,16,64,99,33,30,95,76,69,58,5,89,22,62,45,44,18,34,17,31,95,3,98,36,38,86,45,24,40,41,93,45,59,55,53,97,2,87,13,85,1,40,60,50,52,70,59,24,27,66,32,13,49,66,95,62,24,88,3,38,93,43,35,47,83,72,75,67,78,68,17,2,57,1,71,18,33,13,44,91,98,66,46,73,84
LPAR2,80,65,15,2,37,41,19,36,6,88,19,21,89,55,72,32,21,67,89,62,82,3,45,26,8,51,32,55,79,67,75,82,55,20,89,50,76,10,2,3,47,15,63,14,71,88,95,59,42,38,34,76,78,78,28,97,41,7,8,94,93,43,62,20,78,55,7,50,52,7,7,29,98,77,71,3,86,87,16,8,72,56,31,83,35,60,27,57,98,55
LPAR4,25,34,49,60,40,48,12,31,72,90,24,86,20,69,23,81,43,31,18,43,55,33,51,64,7,82,60,72,5,71,93,78,51,22,83,71,47,45,48,12,50,2,64,19,47,60,92,91,7,88,64,40,6,80,1,25,31,69,43,14,1,58,15,65,65,82,32,13,55,72,30,74,79,40,82,31,19,39,3,42,23,27,23,97,67,99,31,94,15,31
LPAR5,37,82,92,22,34,71,87,48,74,52,39,55,67,8,73,14,66,57,90,45,2,38,41,78,95,7,59,21,47,43,56,77,77,90,86,56,65,37,38,31,24,82,85,84,22,44,75,66,49,80,91,25,46,89,6,43,18,57,36,78,48,84,91,45,97,90,60,65,24,68,11,59,19,53,46,82,45,8,1,77,34,45,93,35,15,97,59,28,71,32
LPO,64,34,16,21,83,37,97,94,11,95,79,63,99,97,7,85,74,8,8,60,69,75,96,89,37,11,70,46,73,47,35,43,78,48,38,91,75,87,57,11,16,24,81,57,90,27,72,91,15,32,87,83,27,53,24,5,52,62,50,72,46,47,24,63,56,10,5,24,5,2,98,90,16,87,88,41,9,14,16,25,4,12,72,66,29,85,98,93,10,53
LPPR3,25,67,55,44,10,19,48,22,33,91,41,93,23,53,57,28,52,19,86,30,59,80,52,70,76,84,77,29,74,90,54,67,63,45,58,96,7,15,9,26,63,99,79,22,29,84,83,27,4,13,32,55,67,55,18,58,39,29,15,21,23,53,34,32,57,98,57,50,28,6,83,1,10,73,84,10,11,23,7,15,79,28,13,55,77,47,78,28,38,86
LPPR5,50,24,14,94,7,35,66,70,50,62,39,13,11,30,17,71,67,7,80,85,49,61,63,72,73,68,12,97,48,10,4,20,74,52,84,75,84,70,62,69,57,76,17,38,70,66,43,47,20,47,91,52,46,32,45,40,18,17,29,58,67,54,24,2,19,26,82,38,34,77,63,58,19,93,85,11,41,76,53,45,23,45,16,97,65,7,4,75,60,76
LQK1,51,3,14,90,47,19,23,66,30,53,70,35,46,75,36,74,51,27,82,89,51,95,7,52,57,51,84,44,25,78,12,50,19,69,25,62,59,99,44,81,53,64,63,12,26,84,77,46,87,65,82,18,14,24,90,43,11,77,16,80,16,57,76,95,5,25,78,51,65,79,88,82,46,89,49,58,56,46,36,76,72,68,7,55,32,26,79,97,18,18
LRFN1,33,99,14,65,18,13,26,9,5,48,31,70,42,30,27,42,24,23,28,1,64,6,54,33,75,17,41,41,77,58,72,8,54,85,7,35,88,20,41,33,87,45,71,59,34,61,96,59,91,62,94,60,61,1,82,93,68,48,49,7,74,9,26,41,25,5,57,12,42,68,70,84,45,22,24,19,98,82,82,11,43,93,55,81,8,78,45,97,61,85
LRGUK,7,71,28,79,56,61,93,74,87,27,14,52,39,66,59,7,19,53,90,30,12,48,2,85,69,20,99,64,78,55,42,65,43,21,48,54,63,20,13,16,49,5,73,46,22,29,60,39,49,26,6,70,30,24,2,43,10,85,82,3,81,6,47,10,69,3,97,50,50,1,44,30,48,99,83,88,35,15,93,82,78,55,44,7,70,31,32,71,33,83
LRIT2,96,15,39,92,91,6,23,76,49,25,47,39,25,98,38,29,51,69,92,34,41,43,63,15,9,44,81,82,52,1,69,12,44,23,41,26,83,19,16,16,77,25,38,55,25,31,9,4,69,70,97,81,60,82,27,75,7,82,80,38,95,55,81,13,22,66,60,61,10,1,78,16,6,27,79,76,61,17,28,12,55,98,89,35,42,92,55,82,76,85
LRP5L,68,20,76,31,23,88,79,7,6,54,80,37,14,37,86,13,71,44,80,62,86,28,17,93,83,25,93,51,65,48,29,69,92,1,89,56,37,44,42,13,2,77,98,45,58,66,24,71,82,76,84,47,22,81,69,96,70,46,57,20,6,91,14,25,44,44,68,30,25,61,25,84,99,40,52,82,99,27,31,68,3,66,39,16,68,38,67,26,23,87
LRRC10,44,75,54,97,82,46,66,50,87,85,99,42,6,77,19,4,32,53,52,90,48,97,88,25,89,59,62,63,63,59,95,79,97,66,79,74,51,61,21,57,93,4,86,13,51,67,9,6,93,21,70,30,26,9,47,65,48,66,85,6,17,63,4,39,34,3,74,52,26,62,66,18,65,1,78,79,74,75,30,74,51,60,91,50,77,91,32,56,66,69
LRRC14B,54,40,59,74,12,1,18,62,53,11,95,14,70,87,32,13,48,91,97,8,46,26,48,8,10,59,72,65,53,33,21,80,50,66,45,95,13,34,92,43,68,34,62,48,65,2,60,23,18,4,82,29,72,58,73,33,61,4,77,64,38,19,76,35,67,86,41,96,77,60,39,93,95,98,59,73,70,55,64,95,33,53,30,72,46,82,63,89,6,14
LRRC15,25,85,57,41,80,64,82,88,11,1,41,38,46,99,18,55,22,92,57,75,5,11,79,6,63,94,2,48,75,43,9,49,45,23,22,31,9,54,6,21,48,96,30,92,81,1,6,27,32,28,71,51,40,91,47,91,76,52,53,98,86,69,61,51,63,53,38,69,50,77,68,41,47,77,90,49,93,27,21,24,96,48,93,66,48,88,2,55,64,41
LRRC16B,33,80,51,76,74,85,52,69,43,39,48,83,90,52,12,3,20,28,72,70,60,67,98,95,85,19,17,59,95,75,60,28,14,98,1,58,67,45,44,46,24,62,37,1,73,53,46,41,50,59,67,29,48,89,26,2,57,22,17,3,1,64,38,15,80,63,10,95,55,57,62,18,5,23,68,21,12,90,22,90,47,86,73,5,90,82,27,91,69,45
LRRC24,59,68,58,30,84,49,19,33,54,57,31,22,35,28,9,1,87,47,83,9,45,93,35,13,96,7,30,90,1,49,11,45,95,27,17,55,34,5,89,86,88,96,36,52,99,6,33,22,94,9,89,87,98,80,83,78,10,45,10,23,88,7,68,14,70,66,34,81,88,65,13,59,83,93,77,40,84,3,92,59,54,92,83,90,16,98,5,45,12,15
LRRC25,91,22,46,25,2,4,4,51,93,98,17,27,66,77,57,85,18,76,18,83,16,31,95,35,65,95,7,11,54,44,80,15,35,27,42,9,77,95,78,4,58,66,16,54,35,18,67,7,1,35,46,21,23,99,50,11,16,70,89,79,13,88,62,93,61,18,51,10,39,36,65,84,21,58,56,57,89,44,14,56,27,75,25,39,98,86,55,91,37,90
LRRC36,39,86,79,3,22,63,56,83,77,1,90,45,24,71,88,56,75,70,51,58,35,12,30,52,7,6,67,13,42,40,54,68,86,7,12,89,11,45,40,7,29,68,32,77,44,15,40,51,94,67,5,60,88,18,6,11,66,33,8,66,78,67,1,50,74,81,47,16,26,17,18,81,40,46,70,3,24,13,86,19,8,79,71,30,15,40,63,3,18,52
LRRC46,53,6,95,74,52,24,62,50,21,74,11,3,88,30,50,77,2,85,12,14,75,91,41,20,69,68,29,53,74,97,39,51,29,2,30,33,72,28,38,92,59,2,26,10,93,5,32,65,70,8,49,65,77,2,21,38,19,75,44,72,22,19,15,72,22,52,41,38,59,70,76,33,62,21,69,5,50,70,60,36,67,18,95,6,17,60,82,70,99,97
LRRC56,62,38,95,74,3,51,96,56,9,54,36,94,83,46,1,53,17,50,15,87,13,92,86,67,91,13,27,59,1,96,37,3,23,87,49,19,36,75,26,32,26,5,5,18,21,85,78,61,2,83,94,58,96,24,52,87,99,57,50,61,86,58,49,24,71,88,4,70,75,7,29,68,60,82,35,41,73,65,75,1,32,66,76,87,41,6,22,77,29,95
LRRC69,1,35,87,1,74,52,61,34,28,35,55,22,52,14,34,83,55,56,21,1,91,7,25,91,18,70,75,84,68,54,36,39,43,12,29,10,78,41,40,34,77,48,1,81,38,35,53,76,95,55,85,53,3,71,76,42,57,32,42,99,23,68,92,54,13,34,81,12,4,21,80,56,10,65,18,68,10,98,23,84,22,87,50,33,98,89,11,88,54,26
LRRC8E,86,24,32,59,92,38,51,81,34,14,49,93,20,26,3,41,68,45,15,47,22,91,53,4,47,97,25,75,37,73,50,20,83,83,56,17,35,75,94,31,83,31,36,91,46,60,62,47,62,31,28,35,70,11,76,13,63,71,42,59,68,1,27,17,22,14,42,17,73,95,78,97,90,3,57,8,39,38,33,65,46,7,71,26,2,82,73,87,30,54
LRRIQ4,52,62,29,45,40,11,94,39,5,15,3,62,5,79,53,50,76,48,39,2,24,87,50,45,9,54,11,79,35,89,67,28,34,47,55,86,27,91,20,27,41,94,73,33,72,70,47,70,85,56,80,44,2,8,37,66,63,32,25,35,69,11,43,92,60,66,66,95,74,69,92,63,29,2,6,53,36,69,21,47,33,93,67,37,79,64,11,74,9,64
